"name","name_eng"
"Київський університет культури (КУК)","Kyiv University of Culture (KUK)"
"Інститут психології і підприємництва","Institute of Psychology and Entrepreneurship"
"Українсько-американський університет Конкордія","Ukrainian-American Concordia University"
"Приазовський державний технічний університет (ПДТУ)","Pryazovskyi State Technical University (PSTU)"
"Тернопільський національний медичний університет ім. І.Я. Горбачевського (ТНМУ)","Ternopil National Medical University named after I.Ya. Horbachevsky (TNMU)"
"Міжрегіональна академія управління персоналом (МАУП)","Interregional Academy of Personnel Management (IAPM)"
"Київська Академія прикладних мистецтв","Kyiv Academy of Applied Arts"
"IT STEP University","IT STEP University"
"Академія адвокатури України (ААУ)","Academy of Advocacy of Ukraine (AAU)"
"Академія кіно та нових медіа","Academy of Cinema and New Media"
"Академія культури i мистецтв","Academy of Culture and Arts"
"Академія праці, соціальних відносин і туризму (АПСВТ)","Academy of Labor, Social Relations and Tourism (ALSRT)"
"Академія рекреаційних технологій і права","Academy of Recreational Technologies and Law"
"Арт академія сучасного мистецтва ім. Сальвадора Далі","Salvador Dalí Art Academy of Contemporary Arts"
"Бердянський державний педагогічний університет (БДПУ)","Berdiansk State Pedagogical University (BDPU)"
"Бережанський агротехнічний інститут НУБіП","Berezhany Agrotechnical Institute of NULES"
"Березанський Інститут Міжрегіональної академії управління персоналом","Berezan Institute of the Interregional Academy of Personnel Management"
"Білоцерківський інститут економіки та управління Університету ""Україна""","Bila Tserkva Institute of Economics and Management of the ""Ukraine"" University"
"Білоцерківський національний аграрний університет (БНАУ)","Bila Tserkva National Agrarian University (BTNAU)"
"Бориспільський інститут муніципального менеджменту при МАУП (БІММ)","Boryspil Institute of Municipal Management at IAPM (BIMM)"
"Буковинський державний медичний університет (БДМУ)","Bukovinian State Medical University (BSMU)"
"Буковинський університет","Bukovinian University"
"Видавничо-поліграфічний інститут НТУУ ""КПІ""","Publishing and Printing Institute of NTUU ""KPI"""
"Відкритий міжнародний університет розвитку людини ""Україна"" (ВМУРОЛ)","Open International University of Human Development ""Ukraine"" (VMUROL)"
"Вінницька академія неперервної освіти","Vinnytsia Academy of Continuing Education"
"Вінницька філія (ННВЦ) Одеської національної академії зв'язку (ОНАЗ)","Vinnytsia Branch (Educational and Research Center) of the Odesa National Academy of Communications (ONAC)"
"Вінницька філія Європейського університету","Vinnytsia Branch of European University"
"Вінницька філія КІБІТ","Vinnytsia Branch of Kyiv Institute of Business and Technology"
"Вінницький державний педагогічний університет ім. М. Коцюбинського (ВДПУ)","Vinnytsia Mykhailo Kotsiubynskyi State Pedagogical University (VDPU)"
"Вінницький інститут конструювання одягу і підприємництва","Vinnytsia Institute of Clothing Design and Entrepreneurship"
"Вінницький кооперативний інститут (ВКІ)","Vinnytsia Cooperative Institute (VCI)"
"Вінницький навчально-науковий інститут УДФСУ","Vinnytsia Educational and Research Institute of the University of the State Fiscal Service of Ukraine"
"Вінницький національний аграрний університет (ВНАУ)","Vinnytsia National Agrarian University (VNAU)"
"Вінницький національний медичний університет ім. М. Пирогова (ВНМУ)","Vinnytsia National Medical University named after M. Pyrogov (VNMU)"
"Вінницький національний технічний університет (ВНТУ)","Vinnytsia National Technical University (VNTU)"
